Word,Frequency,Impact_Value
2021,735.1536283314676,5275.690897080158
2021 added,108.59919785107874,-4579.550153510102
2021 engine,66.86223158001752,-2544.169349056228
2022,746.9871122527817,18729.085678022937
2022 added,110.81595938738033,-2155.287527426722
2022 engine,74.80352607558356,-4050.944295055943
2023,722.4167727394538,9015.845225881605
2023 added,98.12331364822109,-2004.9009292687876
2023 engine,75.18969538994651,-809.2682371574928
2024,627.5350511796937,5774.329882186351
2024 added,86.9890642188105,-370.14513895779726
2024 engine,82.7993251446569,-919.2343601792517
2025,471.0968540463897,-7575.264048294307
2025 added,83.98863086107684,-211.10103544232166
2025 engine,85.12292049179551,-5401.42865683657
21,182.18735567654298,17689.624515572363
21 inch,144.77002778510905,31780.79959513301
22,151.80312068905977,27400.086735175846
22 inch,101.9740098158419,44980.00387340075
225,65.16113699048782,-8675.732239772378
23,76.20292109295042,10037.556937319376
24,86.7530959280588,12148.774511916226
25,105.42055240870488,-8245.956292357228
250,107.38034983963841,-6183.066491495709
258,58.38681623885893,-12653.119587215426
26,67.20788401806324,551.5978674692731
260,63.11578740371385,-10138.981186218492
29,66.68439868440747,-6237.479005874333
295,73.9228618412213,-3205.6705573132735
30,107.80269167007198,-8793.867406036732
31,70.79273490165497,-1803.920094668008
320,74.31284446670479,-1606.3500878177122
325,75.48640379256547,2388.2662713942173
335i,83.12076746968657,-1240.6395322270691
34,63.25699254559323,-4065.924009304121
35,101.55399928140135,-9144.213042847328
350,91.26795752334394,-3500.1873267071946
36,69.30145626434138,-1249.6098338319764
37,86.11804897912965,-836.5173632298245
38,70.51449620159124,-9832.571848014266
39,69.78959381413493,-2925.520133973052
400,198.99442240966715,-10086.462478928242
400 miles,125.9785777547342,2632.0925516062143
41,68.87886896080057,-5562.867439353366
42,83.77776764443642,-8792.861067375896
43,66.47003809358135,-7865.174669079653
45,77.73127456966131,-5975.333869998856
450,68.68972269379998,-2067.478904324357
46,71.14376206084319,-5618.214648055058
47,63.48028697084599,-6210.84558711461
470,108.5828168294206,-732.4076978183753
48,69.55835755593064,1225.987125557866
49,64.90023342435363,-3107.3234563347005
4x4,139.6813647991052,-4517.096878512616
4x4 finished,105.08734149611084,-2797.436122385124
50,162.28774722196187,-1570.4065953802562
51,67.04305548669238,-2596.79602518026
52,61.64986129948001,-3650.5030746259968
53,62.1164962575048,-4451.520869504121
54,64.0087615092093,-2341.6689926851914
55,86.94756037842065,-1764.6249248921004
56,66.66937696797305,-4166.7117753111725
58,62.34246558819832,-3945.0446010445244
59,63.18725839400311,-6896.233319898329
60,137.2632542584544,2958.569422348984
61,58.01398587063255,-2229.0955817235827
63,79.2110147989826,-6269.95430888662
64,59.80315738978305,759.474848285695
65,84.40711203237575,-2746.7613268239556
66,63.83164005451124,-538.2235265276137
67,81.15625504967424,-3765.678261194296
68,59.23274001727927,-5315.321582459239
69,60.126542919881025,-1813.2704730450437
70,91.14152057887398,-6484.34848968684
71,59.447214874212214,-2439.1840905758663
72,59.46093040252789,-4696.381884051137
73,81.02680932193466,-5850.715284448102
74,59.44004623482108,2274.852665733793
77,58.70520456711566,-4398.780024431101
79,57.140763947274586,-4083.7775798752714
800,145.67617897592427,4168.633912228863
800 miles,123.7099361903876,-2478.746231955135
82,58.41775010773231,-6015.548122831834
85,71.97476550547916,-5056.88091890944
88,56.32544363653915,-4678.447457156475
91,57.20956404608473,-9913.433756189508
abs,72.61168008750374,-2652.4293872330286
accents,78.85313488823057,19240.613157985932
access,123.2255187363451,-6574.819264029279
access keyless,84.40155077006143,-256.8801476410731
accessory,59.33847980271689,2600.380015542234
accident,178.11977595475653,-4144.49156759024
accidents,459.2251878127763,5452.21759746524
accidents mileage,397.38992996235805,4924.825725092528
accidents past,130.37096419627517,-1882.863707494713
according,430.51142571716895,-4632.51083198759
according build,246.53549233807203,-3633.5181443951647
according monroney,53.73376039197982,647.0107349196587
according window,225.45099798396066,3821.707873518183
acquired,305.41195643126827,-4352.688644845787
activated,80.35072379715625,14212.35157405419
activated rear,67.91460902474907,8201.077694508524
active,344.6647817554287,1659.4525533500275
adapter,76.2040309250246,206.41155526280437
adaptive,375.2189278699071,6318.210398123082
adaptive cruise,122.98805505808771,3262.0158679010437
adaptive suspension,117.30242049095334,6354.008022310421
adaptive xenon,120.18700692778322,-10630.783368513015
added,427.44037724768697,-10083.017236339103
added approximately,329.55123632261507,-8973.515667804397
added miles,68.5791577006779,5700.048226869863
addition,69.16249375594028,786.5313154278829
additional,444.4366332716807,-14472.869420784065
additional diligence,72.76211284339738,-1545.44927273499
additional service,374.04664617890273,-11984.922810658025
additionally,117.7060325550239,-4957.772534267351
adds,232.34496292201953,-1275.508173424004
