Make,Model,Drivetrain,Body Style,Transmission_Type,Engine_Cylinders
Cadillac,Escalade,Rear-wheel drive,SUV/Crossover,Automatic,I6
Local Motors,Rally Fighter,Rear-wheel drive,Coupe,Automatic,V8
Jeep,Grand Cherokee,4WD/AWD,SUV/Crossover,Automatic,V6
McLaren,765LT,Rear-wheel drive,Coupe,Automatic,V8
Audi,RS5,4WD/AWD,Sedan,Automatic,Other
Audi,Q7,4WD/AWD,SUV/Crossover,Automatic,V6
Mercedes-Benz,C-Class AMG,Rear-wheel drive,Sedan,Automatic,V8
Kandi,K27,Front-wheel drive,Hatchback,Automatic,Electric
Nissan,370Z,Rear-wheel drive,Coupe,Manual,V6
Mercedes-Benz,W213 E-Class AMG,4WD/AWD,Coupe,Automatic,I6
Audi,A7,4WD/AWD,Sedan,Automatic,I4
Honda,Civic Type R,Front-wheel drive,Sedan,Manual,I4
Mercedes-Benz,CLS-Class,4WD/AWD,Sedan,Automatic,I6
Mercedes-Benz,CLA AMG,4WD/AWD,Sedan,Automatic,I4
Sierra Cars,RX3,Rear-wheel drive,Coupe,Manual,I4
Audi,SQ7,4WD/AWD,SUV/Crossover,Automatic,V8
Cobra,Replica,Rear-wheel drive,Coupe,Manual,V8
Mazda,ND Miata,Rear-wheel drive,Convertible,Automatic,I4
Ford,Transit,Rear-wheel drive,Van/Minivan,Automatic,V6
Bentley,Bentayga,4WD/AWD,SUV/Crossover,Automatic,V8
